Date,Unique,Last_LF,Percent_Unique,Total_Paid
13-Apr-20,3.5,18507.9,0.189108435,null
16-Apr-20,6.39,18507.9,0.345257971,17.35
19-Apr-20,6.73,18507.9,0.363628505,19.8
21-Apr-20,6.82,18507.9,0.368491293,21.3
23-Apr-20,7.1,18507.9,0.384700587,22.4
28-Apr-20,7.3,18507.9,0.392264925,25.63
05-May-20,7.6,18507.9,0.410095149,28.57
07-May-20,7.8,18507.9,0.419280415,29.05
10-May-20,7.83,18507.9,0.423062584,30.48
14-May-20,7.98,18507.9,0.43116723,35.88
19-May-20,8.11,18507.9,0.43819126,38.41
24-May-20,8.21,18507.9,0.443594357,40.33
26-May-20,8.25,18507.9,0.445755596,41.03
28-May-20,8.29,18507.9,0.447916836,41.44
01-Jun-20,8.33,18507.9,0.450078075,42.59
04-Jun-20,8.41,18507.9,0.454400553,43.51
21-Jun-20,8.06,18507.9,0.43548971,52.14
28-Jun-20,8.16,18507.9,0.440892808,53.53
05-Jul-20,8.25,18507.9,0.445755596,54.79
12-Jul-20,8.34,18507.9,0.450618385,59.41
19-Jul-20,8.4,18507.9,0.453860243,61.26
26-Jul-20,8.46,18507.9,0.457102102,62.75
02-Aug-20,8.51,18507.9,0.459803651,64.26
09-Aug-20,8.58,18507.9,0.46358582,68.46
16-Aug-20,8.62,18507.9,0.465747059,70.03
30-Aug-20,8.7,18507.9,0.470069538,72.55
06-Sep-20,8.75,18507.9,0.472771087,76.43
13-Sep-20,8.79,18507.9,0.474932326,77.99
